Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
171.8000000	-3967.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0071507	0.0080950	-0.0084139	-0.0110778	-0.0073768	-0.0086736	0.0076079	0.0105000
173.3900000	3985.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0071914	0.0087050	0.0104720	0.0077810	-0.0074456	-0.0093217	-0.0112979	-0.0083348
174.8200000	28.1299992	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0059999	0.0069730	0.0008297	-0.0013254	-0.0062645	-0.0075815	-0.0016320	0.0007703
176.1200000	-3966.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0074956	0.0085124	-0.0084064	-0.0112092	-0.0077522	-0.0091127	0.0076174	0.0106487
177.6850000	3985.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0075499	0.0091430	0.0106227	0.0077831	-0.0078212	-0.0097644	-0.0114358	-0.0083314
178.9600000	28.1599998	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0063375	0.0073871	0.0009018	-0.0013910	-0.0066136	-0.0079934	-0.0016912	0.0008381
180.3200000	-3966.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0078513	0.0089460	-0.0084003	-0.0113432	-0.0081199	-0.0095393	0.0076218	0.0107891
182.0100000	3984.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0079247	0.0096028	0.0107736	0.0077795	-0.0082152	-0.0102222	-0.0115739	-0.0083308
183.3850000	28.2600002	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0067123	0.0078465	0.0009830	-0.0014610	-0.0069982	-0.0084432	-0.0017583	0.0009058
184.6850000	-3965.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0082371	0.0094158	-0.0083922	-0.0115038	-0.0085203	-0.0100123	0.0076278	0.0109417
186.2950000	3984.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0083015	0.0100695	0.0109362	0.0077787	-0.0086028	-0.0106817	-0.0117116	-0.0083299
187.7450000	28.2299995	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0070973	0.0083087	0.0010702	-0.0015363	-0.0073849	-0.0088993	-0.0018230	0.0009822
189.1850000	-3965.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0086422	0.0099127	-0.0083796	-0.0116632	-0.0089407	-0.0104997	0.0076391	0.0111049
190.9200000	3984.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0087309	0.0105945	0.0111100	0.0077801	-0.0090413	-0.0111998	-0.0118726	-0.0083324
192.3000000	28.0900002	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0075132	0.0088153	0.0011615	-0.0016205	-0.0078153	-0.0094035	-0.0019028	0.0010668
193.6900000	-3964.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0090671	0.0104264	-0.0083691	-0.0118318	-0.0093785	-0.0110091	0.0076481	0.0112726
195.3000000	3984.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0091508	0.0111057	0.0112922	0.0077830	-0.0094650	-0.0116966	-0.0120234	-0.0083287
196.6050000	28.0900002	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0079120	0.0093056	0.0012556	-0.0017008	-0.0082335	-0.0098863	-0.0019637	0.0011440
198.1050000	-3964.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0094867	0.0109343	-0.0083596	-0.0119938	-0.0098116	-0.0115109	0.0076611	0.0114370
199.8900000	3984.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0095873	0.0116424	0.0114695	0.0077791	-0.0099254	-0.0122317	-0.0121813	-0.0083298
201.4000000	28.1800003	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0083684	0.0098651	0.0013488	-0.0017928	-0.0087152	-0.0104487	-0.0020438	0.0012319
202.9500000	-3964.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0099553	0.0115057	-0.0083492	-0.0121777	-0.0103054	-0.0120766	0.0076702	0.0116182
204.7500000	3984.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0100579	0.0122223	0.0116662	0.0077743	-0.0104262	-0.0128121	-0.0123495	-0.0083335
206.2500000	28.3799992	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0088432	0.0104469	0.0014574	-0.0018807	-0.0092082	-0.0110214	-0.0021264	0.0013263
